                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.48736,                0.74911,                0.52682,                0.95957,                0.86193,                0.61364,                0.60474,                  0.435,                0.86193,                0.61364,                0.60254,                0.43305,                 1.0678,                 2.2692,                 1.4011,                 1.7318,              0.0008996,              0.0008996,              0.0008996
                     96,                0.49475,                0.70487,                0.55289,                0.95883,                0.82312,                0.63462,                0.64186,                0.47987,                0.87971,                0.59091,                0.62196,                0.46563,                0.99695,                 2.2158,                 1.3819,                 1.5976,             0.00089134,             0.00089134,             0.00089134
                     97,                 0.5006,                0.71565,                0.52434,                0.99027,                 0.8436,                0.61364,                0.65414,                0.50203,                      1,                0.62666,                0.65947,                0.47711,                0.97046,                 2.2349,                 1.3494,                 1.5552,             0.00088309,             0.00088309,             0.00088309
                     98,                0.48645,                0.75514,                0.52483,                0.94688,                0.92082,                0.65909,                0.66197,                0.49009,                0.89534,                0.63636,                0.66111,                0.49763,                 1.0727,                 2.2399,                 1.3632,                 1.5818,             0.00087484,             0.00087484,             0.00087484
                     99,                0.50075,                0.75027,                0.49357,                0.94997,                0.86536,                0.63636,                0.66548,                0.49744,                0.86536,                0.63636,                0.64171,                0.46913,                 1.0281,                 2.2028,                 1.3571,                 1.5373,             0.00086659,             0.00086659,             0.00086659
                    100,                0.45436,                0.70719,                0.47258,                0.96218,                0.93917,                0.63636,                0.67548,                0.45684,                0.93917,                0.63636,                0.65881,                0.45788,                 1.0857,                 2.1359,                 1.4386,                 1.5671,             0.00085834,             0.00085834,             0.00085834
                    101,                0.49319,                0.70316,                0.50393,                 0.9741,                0.92408,                0.65909,                0.69092,                  0.466,                0.95642,                0.63636,                0.67142,                0.46567,                 1.1163,                 2.0627,                 1.4789,                 1.5892,             0.00085009,             0.00085009,             0.00085009
                    102,                0.50568,                0.72824,                0.53186,                0.98679,                0.76272,                0.65754,                 0.6954,                0.46705,                0.76272,                0.65754,                0.67984,                0.46196,                 1.0857,                 2.0364,                 1.4612,                 1.5233,             0.00084184,             0.00084184,             0.00084184
                    103,                0.46741,                0.63657,                0.47698,                0.93765,                0.88027,                0.66852,                0.71372,                0.50198,                0.92368,                0.61364,                0.70089,                0.51335,                 1.1661,                 2.0395,                  1.392,                 1.6064,             0.00083358,             0.00083358,             0.00083358
                    104,                0.46882,                0.68402,                0.49211,                0.96603,                0.98623,                0.63636,                0.71177,                0.50315,                0.98623,                0.63636,                0.70239,                0.51073,                  1.088,                 2.1933,                 1.2058,                 1.6286,             0.00082533,             0.00082533,             0.00082533
                    105,                0.48798,                0.74287,                0.49258,                0.96491,                0.94919,                0.63636,                0.69752,                0.49162,                0.94919,                0.63636,                0.68296,                0.49449,                 1.0074,                 2.2863,                 1.1772,                 1.5891,             0.00081708,             0.00081708,             0.00081708
                    106,                0.49882,                0.66247,                0.49919,                0.96876,                0.82355,                0.61364,                0.63676,                0.45687,                0.85447,                0.63636,                0.65752,                0.46947,                 1.0431,                 2.3434,                 1.3254,                 1.7229,             0.00080883,             0.00080883,             0.00080883
                    107,                0.45291,                0.68556,                0.46761,                0.93672,                0.74225,                0.65458,                0.61153,                0.43103,                0.93521,                0.61364,                0.65393,                0.43489,                 1.0488,                 2.4175,                 1.4699,                 1.6972,             0.00080058,             0.00080058,             0.00080058
                    108,                0.46804,                0.72387,                0.50936,                0.94771,                0.89051,                0.63636,                0.65676,                 0.4814,                0.89051,                0.63636,                0.64592,                0.45463,                 1.0376,                 2.3913,                  1.471,                 1.5844,             0.00079233,             0.00079233,             0.00079233
                    109,                0.44756,                0.65534,                0.46183,                0.94151,                0.90552,                 0.6536,                0.65992,                0.49468,                0.90552,                 0.6536,                0.64768,                0.47007,                  1.032,                 2.4423,                 1.4393,                 1.5701,             0.00078407,             0.00078407,             0.00078407
                    110,                0.46132,                0.70131,                0.50995,                0.95404,                 0.8482,                0.65909,                0.67808,                0.50913,                0.95394,                0.63636,                0.66731,                0.48378,                 1.0643,                 2.7446,                 1.4621,                 1.5704,             0.00077582,             0.00077582,             0.00077582
                    111,                 0.4508,                0.64639,                0.48247,                0.93576,                0.93544,                0.65859,                0.67098,                0.50708,                0.93544,                0.65859,                0.67098,                 0.4834,                 1.0607,                 3.0968,                 1.3905,                 1.5866,             0.00076757,             0.00076757,             0.00076757
                    112,                0.46748,                0.74191,                0.51133,                0.95437,                 0.9555,                0.65909,                0.68883,                0.49864,                 0.9555,                0.65909,                0.68883,                0.48387,                 1.0634,                 2.9373,                 1.3512,                 1.6074,             0.00075932,             0.00075932,             0.00075932
                    113,                0.44585,                0.62953,                0.50491,                0.95254,                0.92342,                0.65909,                0.69599,                0.49678,                0.92342,                0.65909,                0.69484,                0.47645,                 1.0285,                 2.9022,                 1.2815,                  1.571,             0.00075107,             0.00075107,             0.00075107
                    114,                0.44759,                0.68977,                0.46087,                0.95672,                 0.9263,                0.61364,                0.67523,                0.51103,                 0.9957,                0.65909,                0.71061,                0.48485,                 1.0192,                 2.6907,                  1.196,                 1.5964,             0.00074282,             0.00074282,             0.00074282
                    115,                0.43298,                0.67517,                0.46261,                0.95416,                 0.8948,                0.63636,                0.69615,                0.51049,                0.95932,                0.68182,                0.71455,                0.49503,                 1.0102,                 2.4763,                 1.2314,                 1.6293,             0.00073456,             0.00073456,             0.00073456
                    116,                0.45436,                0.69362,                0.46512,                0.94146,                0.82553,                0.68182,                0.68199,                0.48021,                0.99521,                0.65909,                0.72356,                0.49737,                 1.0237,                 2.3161,                 1.2215,                 1.6723,             0.00072631,             0.00072631,             0.00072631
                    117,                0.44964,                0.72465,                0.46586,                0.94572,                0.93724,                0.67885,                0.69022,                0.48041,                0.93724,                0.67885,                0.72991,                0.49455,                 1.0121,                 2.3048,                 1.1903,                 1.6488,             0.00071806,             0.00071806,             0.00071806
                    118,                0.44747,                0.72323,                0.48411,                0.94877,                 0.8767,                0.68182,                0.67895,                0.48171,                      1,                0.64864,                0.71674,                0.50163,                 1.0356,                 2.3555,                 1.1557,                  1.674,             0.00070981,             0.00070981,             0.00070981
                    119,                0.46533,                0.70805,                0.45117,                0.94302,                0.88224,                0.68109,                0.67394,                0.48555,                0.88224,                0.68109,                0.69527,                0.48773,                 1.0624,                 2.3426,                 1.1834,                 1.6956,             0.00070156,             0.00070156,             0.00070156
                    120,                 0.4819,                0.73595,                0.49366,                 0.9614,                0.86138,                0.65909,                0.66296,                0.46072,                0.86138,                0.65909,                0.68809,                0.48767,                  1.092,                 2.3239,                 1.2748,                 1.6909,             0.00069331,             0.00069331,             0.00069331
                    121,                0.42981,                0.68846,                0.47559,                0.94842,                0.82411,                0.68182,                0.65353,                0.46117,                      1,                0.60488,                0.68429,                0.48047,                 1.0762,                 2.3549,                 1.2863,                 1.6858,             0.00068505,             0.00068505,             0.00068505
                    122,                0.42476,                0.60906,                0.45527,                 0.9463,                0.86537,                0.65909,                0.64793,                 0.4567,                0.86537,                0.65909,                0.66464,                0.47166,                 1.1089,                 2.4003,                 1.3918,                 1.7416,              0.0006768,              0.0006768,              0.0006768
                    123,                0.44906,                  0.672,                0.46566,                0.94794,                0.78014,                0.61364,                0.62082,                0.45561,                0.94048,                0.59091,                0.65449,                0.48026,                 1.0455,                 2.4943,                 1.4852,                 1.7362,             0.00066855,             0.00066855,             0.00066855
                    124,                0.40041,                0.71704,                0.41519,                0.91201,                0.73429,                0.63636,                0.60455,                0.44226,                0.88979,                0.56818,                  0.639,                0.47404,                  1.006,                 2.5267,                 1.4285,                 1.6648,              0.0006603,              0.0006603,              0.0006603
                    125,                0.43315,                0.66106,                0.45054,                 0.9365,                0.92721,                 0.5792,                0.64796,                0.45629,                0.92721,                 0.5792,                0.64769,                0.48174,                 1.0419,                 2.5641,                 1.3569,                 1.6774,             0.00065205,             0.00065205,             0.00065205
                    126,                0.41571,                0.69303,                0.43695,                0.92224,                0.89754,                0.63636,                0.65212,                0.48481,                0.98226,                0.61364,                0.67556,                0.50842,                 1.0365,                 2.7224,                 1.2904,                 1.6048,              0.0006438,              0.0006438,              0.0006438
                    127,                0.46004,                0.67024,                 0.4524,                0.96301,                0.87368,                0.65909,                0.65618,                0.49748,                0.99402,                0.61364,                0.67659,                0.50689,                0.99841,                 2.6559,                 1.2196,                  1.599,             0.00063554,             0.00063554,             0.00063554
                    128,                0.41375,                0.61527,                0.43215,                0.94043,                 0.9236,                0.63636,                0.66616,                0.50957,                0.92987,                0.63636,                0.67289,                0.51568,                0.94746,                    2.5,                  1.187,                 1.5944,             0.00062729,             0.00062729,             0.00062729
                    129,                0.40555,                0.67438,                0.42263,                0.92554,                0.97044,                0.63636,                 0.6715,                0.51824,                0.97044,                0.63636,                  0.676,                0.51565,                0.96587,                 2.4552,                  1.208,                 1.6086,             0.00061904,             0.00061904,             0.00061904
                    130,                0.42534,                0.63075,                0.45065,                0.92626,                0.98898,                0.63636,                0.67894,                0.50794,                0.98898,                0.63636,                0.68596,                0.50278,                0.97374,                 2.4459,                  1.255,                  1.594,             0.00061079,             0.00061079,             0.00061079
                    131,                0.39864,                0.62332,                0.42845,                0.94103,                0.96566,                0.65909,                0.68438,                0.50567,                0.96566,                0.65909,                0.68237,                0.50297,                0.97107,                 2.5974,                 1.2936,                 1.5658,             0.00060254,             0.00060254,             0.00060254
                    132,                0.40109,                0.64098,                0.40889,                0.91881,                0.92799,                0.63636,                 0.6856,                0.52124,                0.92799,                0.63636,                 0.6856,                0.49573,                0.96619,                 2.8057,                 1.1942,                 1.5871,             0.00059429,             0.00059429,             0.00059429
                    133,                0.43591,                 0.6472,                0.45216,                0.93228,                0.99176,                0.63636,                0.68288,                0.51518,                0.99176,                0.63636,                0.68288,                0.48588,                0.98194,                 2.8077,                 1.1717,                 1.6118,             0.00058603,             0.00058603,             0.00058603
                    134,                 0.4347,                0.60136,                0.43053,                0.95135,                0.93129,                0.65909,                0.66985,                0.51602,                0.93129,                0.65909,                0.67672,                0.49086,                  0.963,                 2.7609,                 1.2324,                 1.6234,             0.00057778,             0.00057778,             0.00057778
                    135,                0.41105,                0.62411,                0.45136,                 0.9282,                0.94168,                0.61364,                0.66572,                0.50491,                0.98424,                0.63636,                0.67015,                0.49125,                0.95903,                 2.9693,                 1.3085,                 1.5892,             0.00056953,             0.00056953,             0.00056953
                    136,                0.42656,                0.68894,                0.43881,                0.94754,                0.86763,                0.54545,                0.64513,                0.48655,                0.92724,                0.56818,                0.63669,                0.47639,                0.93782,                 2.8393,                 1.3129,                 1.5556,             0.00056128,             0.00056128,             0.00056128
                    137,                0.39222,                0.60883,                0.40736,                0.94156,                0.90074,                0.54545,                0.64953,                0.47971,                0.93982,                0.56818,                0.64168,                0.48142,                0.93418,                 2.7534,                 1.3566,                 1.5448,             0.00055303,             0.00055303,             0.00055303
                    138,                0.43943,                0.59383,                0.44628,                0.94668,                 0.7862,                0.59091,                0.63935,                0.48449,                0.71403,                0.54545,                0.59876,                0.47797,                0.88997,                 2.5862,                 1.3622,                 1.5219,             0.00054478,             0.00054478,             0.00054478
                    139,                0.42525,                0.65653,                0.41203,                0.94682,                0.78739,                0.58922,                0.62342,                0.50125,                0.72262,                0.56818,                0.60063,                0.48416,                0.88166,                 2.5178,                 1.2871,                 1.5016,             0.00053652,             0.00053652,             0.00053652
                    140,                0.38045,                0.56963,                0.39597,                0.91774,                  0.783,                0.65612,                0.65538,                0.53052,                0.81004,                0.67849,                0.68221,                0.50221,                0.84602,                 2.3662,                 1.2725,                  1.438,             0.00052827,             0.00052827,             0.00052827
                    141,                0.39639,                0.65186,                0.39895,                0.90606,                0.84361,                  0.613,                0.65565,                0.51588,                0.90606,                0.65767,                0.68199,                0.49564,                0.88597,                 2.3491,                 1.2629,                 1.4696,             0.00052002,             0.00052002,             0.00052002
