                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.75169,                 1.0672,                0.96932,                 1.1171,                0.73928,                0.52273,                0.56637,                0.27662,                0.70424,                    0.5,                0.51492,                0.32872,                  1.578,                 3.6719,                 2.9689,                 2.3198,              0.0014855,              0.0014855,              0.0014855
                     25,                0.74602,                 1.0173,                0.99631,                 1.1496,                0.68504,                    0.5,                0.53508,                0.31826,                 0.7202,                0.52273,                0.57112,                0.34761,                  1.523,                 3.5516,                 2.5911,                  2.259,              0.0014772,              0.0014772,              0.0014772
                     26,                0.75295,                 1.0187,                0.99425,                 1.1175,                0.65898,                0.48323,                0.43191,                0.25552,                0.74021,                0.58294,                0.55548,                0.29529,                 1.6206,                 3.8889,                 2.5084,                 2.3274,               0.001469,               0.001469,               0.001469
                     27,                0.73393,                 1.1438,                0.96927,                 1.1099,                0.60516,                    0.5,                 0.4788,                0.30883,                0.55011,                0.55594,                0.46549,                0.25931,                 1.5763,                 3.9801,                 2.3263,                 2.1011,              0.0014607,              0.0014607,              0.0014607
                     28,                0.71366,                 1.0946,                0.91972,                 1.1014,                0.75687,                0.59091,                0.60148,                0.43113,                0.75687,                0.59091,                0.61645,                0.42529,                 1.2916,                 3.1842,                 2.1708,                 1.7645,              0.0014525,              0.0014525,              0.0014525
                     29,                 0.7345,                 1.0839,                0.96364,                 1.1017,                0.65667,                0.59091,                0.57765,                0.35872,                0.87865,                0.54545,                0.58285,                0.38826,                 1.4042,                 3.2231,                 2.1072,                 1.9108,              0.0014442,              0.0014442,              0.0014442
                     30,                0.75536,                 1.1834,                0.92687,                 1.1198,                 0.6081,                0.56818,                0.53426,                0.33099,                0.61433,                0.59091,                0.54265,                0.36099,                 1.5068,                 3.2635,                  2.175,                 2.1094,               0.001436,               0.001436,               0.001436
                     31,                0.76497,                 1.1402,                0.91697,                 1.1412,                0.73316,                0.59091,                  0.567,                0.36226,                0.69433,                0.56818,                0.55916,                0.31436,                 1.2873,                   3.45,                 2.0814,                 1.8751,              0.0014277,              0.0014277,              0.0014277
                     32,                0.63757,                0.93637,                0.85126,                 1.0472,                0.62259,                0.56249,                0.54056,                0.33897,                 0.8033,                0.54545,                0.57124,                0.29901,                 1.3616,                 3.6846,                 2.2281,                 1.9808,              0.0014195,              0.0014195,              0.0014195
                     33,                0.70603,                 1.0506,                0.91256,                 1.1423,                0.64463,                0.54545,                0.55147,                0.31855,                0.73578,                0.56818,                0.58294,                0.34013,                 1.4101,                 3.3792,                 2.2795,                 2.0572,              0.0014112,              0.0014112,              0.0014112
